#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
lcl|NC_000913.3_prot_NP_414542.1_1	lcl|NC_017632.1_prot_WP_001386572.1_4449	21	21	100	100	21	100.000	38.1
lcl|NC_000913.3_prot_NP_414543.1_2	lcl|NC_017632.1_prot_WP_001264707.1_4450	820	820	100	100	820	100.000	1687
lcl|NC_000913.3_prot_NP_414544.1_3	lcl|NC_017632.1_prot_WP_000241660.1_4451	310	310	100	100	310	99.677	640
lcl|NC_000913.3_prot_NP_414545.1_4	lcl|NC_017632.1_prot_WP_000781042.1_4452	428	428	100	100	428	99.533	878
lcl|NC_000913.3_prot_NP_414546.1_5	lcl|NC_017632.1_prot_WP_000738733.1_4453	98	98	100	83	81	86.000	149
lcl|NC_000913.3_prot_NP_414547.1_6	lcl|NC_017632.1_prot_WP_000906188.1_4454	258	258	100	100	258	98.062	522
lcl|NC_000913.3_prot_NP_414548.1_7	lcl|NC_017632.1_prot_WP_001112615.1_4455	476	476	100	100	476	98.529	946
lcl|NC_000913.3_prot_NP_414549.1_8	lcl|NC_017632.1_prot_WP_000130187.1_4456	317	317	100	100	317	99.685	648
lcl|NC_000913.3_prot_NP_414550.1_9	lcl|NC_017632.1_prot_WP_001094685.1_4457	195	195	100	100	195	99.487	395
lcl|NC_000913.3_prot_NP_414551.1_10	lcl|NC_017632.1_prot_WP_000528533.1_4458	188	188	100	100	188	99.468	364
lcl|NC_000913.3_prot_NP_414552.1_11	lcl|NC_017632.1_prot_WP_001102393.1_4459	237	237	100	100	237	99.578	481
lcl|NC_000913.3_prot_NP_414554.1_13	lcl|NC_017632.1_prot_WP_000843687.1_4460	134	134	100	100	134	94.776	263
lcl|NC_000913.3_prot_NP_414555.1_14	lcl|NC_017632.1_prot_WP_000516135.1_4461	638	638	100	100	638	100.000	1290
lcl|NC_000913.3_prot_NP_414556.1_15	lcl|NC_017632.1_prot_WP_001118464.1_4462	376	376	100	100	376	99.468	766
lcl|NC_000913.3_prot_NP_414559.1_17	lcl|NC_017632.1_prot_WP_000809168.1_4463	69	50	72	100	50	100.000	100
lcl|NC_000913.3_prot_NP_414560.1_19	lcl|NC_017632.1_prot_WP_000681386.1_4467	388	388	100	100	388	98.454	751
lcl|NC_000913.3_prot_NP_414561.1_20	lcl|NC_017632.1_prot_WP_000062878.1_4468	301	301	100	100	301	95.017	600
lcl|NC_000913.3_prot_NP_414564.1_23	lcl|NC_017632.1_prot_WP_001274021.1_4469	87	87	100	100	87	100.000	170
lcl|NC_000913.3_prot_NP_414565.1_24	lcl|NC_017632.1_prot_WP_001337277.1_4470	72	72	100	100	72	95.833	140
lcl|NC_000913.3_prot_NP_414566.1_25	lcl|NC_017632.1_prot_WP_000767329.1_4471	313	313	100	100	313	100.000	631
lcl|NC_000913.3_prot_NP_414567.1_26	lcl|NC_017632.1_prot_WP_001286813.1_4472	938	938	100	100	938	99.147	1932
lcl|NC_000913.3_prot_NP_414568.1_27	lcl|NC_017632.1_prot_WP_000083369.1_4473	164	164	100	100	164	99.390	330
lcl|NC_000913.3_prot_NP_414569.1_28	lcl|NC_017632.1_prot_WP_000004655.1_4474	149	149	100	100	149	100.000	301
lcl|NC_000913.3_prot_NP_414570.1_29	lcl|NC_017632.1_prot_WP_001166403.1_4475	316	316	100	100	316	99.367	641
lcl|NC_000913.3_prot_NP_414571.1_30	lcl|NC_017632.1_prot_WP_001239167.1_4476	304	304	99	99	303	98.020	612
lcl|NC_000913.3_prot_NP_414572.1_31	lcl|NC_017632.1_prot_WP_000543585.1_4478	273	273	100	100	273	99.634	547
lcl|NC_000913.3_prot_NP_414573.1_32	lcl|NC_017632.1_prot_WP_001295757.1_4479	382	382	100	100	382	99.215	786
lcl|NC_000913.3_prot_NP_414574.1_33	lcl|NC_017632.1_prot_WP_001126333.1_4480	1073	1073	100	100	1073	99.441	2193
lcl|NC_000913.3_prot_NP_414576.4_34	lcl|NC_017632.1_prot_WP_000333104.1_4482	131	131	100	100	131	98.473	265
lcl|NC_000913.3_prot_NP_414577.2_35	lcl|NC_017632.1_prot_WP_000122880.1_4483	196	196	100	100	196	97.959	397
lcl|NC_000913.3_prot_NP_414578.2_36	lcl|NC_017632.1_prot_WP_000004399.1_4484	261	261	100	100	261	99.617	527
lcl|NC_000913.3_prot_NP_414579.4_37	lcl|NC_017632.1_prot_WP_001350362.1_4485	517	517	100	100	517	97.292	1059
lcl|NC_000913.3_prot_NP_414580.1_38	lcl|NC_017632.1_prot_WP_000349942.1_4486	405	405	100	100	405	99.259	841
lcl|NC_000913.3_prot_NP_414581.1_39	lcl|NC_017632.1_prot_WP_000347117.1_4487	380	380	100	100	380	100.000	792
lcl|NC_000913.3_prot_NP_414582.1_40	lcl|NC_017632.1_prot_WP_000787103.1_4488	504	504	100	100	504	100.000	1016
lcl|NC_000913.3_prot_NP_414583.2_41	lcl|NC_017632.1_prot_WP_000692217.1_4489	256	256	100	100	256	99.609	509
lcl|NC_000913.3_prot_NP_414584.1_42	lcl|NC_017632.1_prot_WP_001091524.1_4490	313	313	100	100	313	98.083	633
lcl|NC_000913.3_prot_NP_414585.1_43	lcl|NC_017632.1_prot_WP_001287715.1_4491	428	428	100	100	428	100.000	870
lcl|NC_000913.3_prot_NP_414586.1_44	lcl|NC_017632.1_prot_WP_000203741.1_4492	95	95	100	100	95	100.000	199
lcl|NC_000913.3_prot_NP_414587.1_45	lcl|NC_017632.1_prot_WP_001183207.1_4493	443	443	100	100	443	99.774	884
lcl|NC_000913.3_prot_NP_414588.1_46	lcl|NC_017632.1_prot_WP_000600749.1_4494	176	176	100	100	176	99.432	364
lcl|NC_000913.3_prot_NP_414589.1_47	lcl|NC_017632.1_prot_WP_000377122.1_4495	620	620	100	100	620	99.194	1229
lcl|NC_000913.3_prot_NP_414590.1_48	lcl|NC_017632.1_prot_WP_000624375.1_4496	159	159	100	100	159	100.000	333
lcl|NC_000913.3_prot_NP_414591.1_49	lcl|NC_017632.1_prot_WP_000257201.1_4500	280	282	100	100	282	98.227	570
lcl|NC_000913.3_prot_NP_414592.1_50	lcl|NC_017632.1_prot_WP_000610901.1_4501	125	125	100	100	125	100.000	255
lcl|NC_000913.3_prot_NP_414593.1_51	lcl|NC_017632.1_prot_WP_001065363.1_4502	273	273	100	100	273	99.634	562
lcl|NC_000913.3_prot_NP_414594.1_52	lcl|NC_017632.1_prot_WP_000241229.1_4503	329	329	100	100	329	98.176	654
lcl|NC_000913.3_prot_NP_414595.1_53	lcl|NC_017632.1_prot_WP_000800457.1_4504	428	428	100	100	428	100.000	877
